,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII9,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,"4LF332 A, 2 TI, PS, L, Boldisor_C_N","4LF332 B, 2 TI, PS, L, Boldisor_C_N",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MARTI,"4LF421 +..., 3 AIA, ASCN II, S, Moldoveanu_F_D","4LF331 B, 2 TI, PS, L, Boldisor_C_N","4LF431 +..., 2 AIA, TS, S, Coman_S",,"3, ET, PUM, C, Rosenberg_D","4LF411 B, 4 AIA, Optimizari, L, Andrei_A_M",,,,
,"4LF422 +..., 3 AIA, ASCN II, S, Moldoveanu_F_D",,"4LF432 +..., 2 AIA, TS, S, Coman_S",,,,,,,
,,,,,,,,,,
MIERCURI,,"4LF423 B, 3 AIA, IRA, L, Boldisor_C_N","4LF423 A, 3 AIA, IRA, L, Boldisor_C_N","4LF413 A, 4 AIA, SCF, L, Boldisor_C_N","4, AIA, SCF, C, Boldisor_C_N","2, SATI, BDMD, C, Turcu_D",,,,
,,,,,,,,,,
,,,,,,,,,,
JOI,"4LF411 A, 4 AIA, SDED, L, Muntean_B","4LF422 A, 3 AIA, IRA, L, Boldisor_C_N","4LF412 A, 4 AIA, SDED, L, Muntean_B","4LF422 B, 3 AIA, IRA, L, Boldisor_C_N",,,"4LF421 +..., 3 AIA, IRA, S, Boldisor_C_N",,,
,,,,,,,,,,
,,,,,,,,,,
VINERI,"4LF421 A, 3 AIA, IRA, L, Boldisor_C_N","4LF421 B, 3 AIA, IRA, L, Boldisor_C_N","4, AIA, CAE, C, Diaconu_L_I",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
